text	label
Mahsulot juda sifatli, hammaga tavsiya qilaman.	ijobiy
Yetkazib berish tez bo'ldi, judayam mamnunman.	ijobiy
Narxi arzon, sifati esa ajoyib chiqdi.	ijobiy
Buyurtma vaqtida keldi, qadoqlash zo'r edi.	ijobiy
Bu do'kondan yana xarid qilaman, ishonchli.	ijobiy
Telefon tez ishlaydi, ekrani ham chiroyli.	ijobiy
Kiyim o'lchami to'g'ri keldi, rangi yoqdi.	ijobiy
Xizmat ko'rsatish a'lo darajada, rahmat.	ijobiy
Mahsulot tavsifga to'liq mos keldi, zo'r.	ijobiy
Hammasi joyida, keyingi safar ham olaman.	ijobiy
Sifati kutilganidan ham yaxshiroq chiqdi.	ijobiy
Tez va qulay, do'konga minnatdorman.	ijobiy
Mahsulot buzuq keldi, juda xafa bo'ldim.	salbiy
Yetkazib berish kechikdi, umuman yoqmadi.	salbiy
Sifati past, pulga arzimaydi.	salbiy
Buyurtma noto'g'ri keldi, qaytarib berdim.	salbiy
Bu do'kondan boshqa xarid qilmayman.	salbiy
Telefon tez o'chadi, batareyasi yomon.	salbiy
Kiyim o'lchami kichik chiqdi, rangi xira.	salbiy
Xizmat ko'rsatish sust, javob ham bermadi.	salbiy
Mahsulot tavsifga mos kelmadi, aldashdi.	salbiy
Qadoqlash yomon edi, mahsulot shikastlangan.	salbiy
Narxi qimmat, sifati esa juda past.	salbiy
Umuman tavsiya qilmayman, vaqt ketdi.	salbiy
